text,Food,Interior,Price,Whole,Service
"День 8-го марта прошёл, можно и итоги подвести. Решил написать отзыв о ресторане в котором отметили прекрасный весений праздник, прочитал отзывы edik077 и Rules77777и понял что либо мы были вразных ресторанах, либо у ребят что-то незаладилось. Но теперь о ресторане. Столик бронировали заранее и сделали так как предложил администратор т.е. сделали предварительный заказ, когда придя увидели полностью заполненый ресторан поняли что совет нам дали действительно правильный, в ресторане было человек 70-80, тут действительно горячее блюдо можно ждать весьма долго. Меню достаточно разнообразное и весьма вкусное, мне и моим друзьям понравилось всё что нам принесли, а принесли нам немало. Обслуживание может и не самое лучьшее в городе, но официанты делали всё что нужно. Должен сказать что ждать нам всёравно пришлось, не очень долго конечно, но всё-же. Интерьер хороший, удобные диваны.Очень хорошая музыкальная программа и весёлый ведущий. В общем я остался доволен своим выбором, и тем как мы провели вечер, хороший ресторан, уютный и кухня хорошая. Руководству и персоналу СПАСИБО.",positive,positive,absence,positive,positive
"Отмечали в этом ресторане день рождение на первом этаже в субботу вечером. Хочу выразить большую благодарность прежде всего руководству ресторана, обслуживающему персоналу и конечно же тем сотрудникам, которые готовят посетителям заведения столь вкусные блюда. Понравилось абсолютно все. Конечно же впечатляет интерьер: уютно и красиво. Стол был шикарный. Нас обслуживал официант Бахрам, спасибо ему. Хочу отметить, что для ресторана такого уровня цены не высокие.",positive,positive,positive,positive,positive
"Для встречи с друзьями было выбрано данное заведение в основном благодаря отзывам. Ну во-первых, хочется отметить одно маленькое разочарование, которое меня охватило сразу же: интерьер. Я действительно ожидала увидеть нечто большее. Не буду нудно расписывать что и как не так. Просто осталось чувство, что столь интересную задумку gangster bar-а не до конца смогли реализовать. Черно-белые плакаты, кирпичные стены... Во-вторых: Встреча гостей в ресторане- отсутствовала, мы стояли ждали...оглядывались, пару официантов делали свои дела... Не дождавшись хоть какого-то внимания в наш адрес, подошли к ближайшей девушке-официанту, и попросили посадить нас за столик, заказанный ранее. Провели. Усадили. Дальше было лучше. Заказ принимали быстро, еду приносили тоже достаточно быстро, убирали пустые тарелки, бокалы вовремя. Сама еда-названия соответствуют выбранному стилю заведения. Хотя на деле, ничего особенного и не предлагают. Персонал улыбчивый, приветливый. Сырная тарелка оставляет желать лучшего-для любителей сыра ее ну просто ОЧЕНЬ мало:) Салат цезарь-тарелка капусты, и три тонюсеньких (0,3см) ломтика курицы, сухарики, соус. Из блюд больше ничего нареканий не вызвало. В итоге, хочу сделать вывод: соотношение цена-качество выдержано. Отличное место для большой компании.",both,negative,positive,positive,both
"Хочу поделиться своим впечатлением от посещения ресторана ""Крапива"". Отмечали серебряную свадьбу 27.08.2010. Уже при первой встрече с рестораном (при заказе) все понравилось. Хороший интерьер, приятный, воспитанный администратор Светлана. Очень помогала при выборе меню. При обслуживании банкета официанты внимательно смотрели за столом. чтобы не было пустых тарелок, при этом очень не навязчиво. Гости тоже остались очень довольны. За барной стойкой помогал с музыкой молодой человек, к сожалению не знаю всех имен. Очень советую посетить ресторан, атмосфера домашняя. Всем огромное спасибо, еще не один раз посетим это приятное заведение и будем рекомендовать своим друзьям. Посещение ""Крапивы"" останется на всю жизнь!!!",absence,positive,absence,positive,positive
"Добрый день! Были вчера с друзьями в этом кафе! Очень понравилось! Огромное спасибо поварам, очень вкусные блюда!!!!! Заказывали бивштексы, нет слов как вкусно))) Готовят очень быстро и главное качественно, сразу чувствуется, что там работают мастера своего дела! Спасибо огромное за хорошее обслуживание, приятную атмосферу и гостеприимных официантов! Надеемся еще не раз посетить это замечательное, уютное место с великолепной кухней и доброжелательным персоналом.",positive,positive,absence,positive,positive
"Отметили с мужем годовщину свадьбы 6 ноября в этом заведении. в целом остались довольны, особенно сервисом. Встретила нас прямо у входа девушка, проводила до нашего столика, весь персонал нам улыбался и здоровался. для цветов наш официант Сергей сразу принес вазу. Что касается меня, не могу сказать что оно слишком разнообразное. Мы заказали утку по-пекински, 2 салата, свинину в кисло-сладком соусе, еще какую то свинину, кальян, бутылку вина и один десерт и вышло нам все это на 5500. Утка оказалась очень маленькой, хотя нам сказали, что 4 человека просто объедятся и упадут=)Но впринципе мы наелись вдвоем и достатолчно вкусно. Свинина мне не понравилась. Раньше в других ресторанах я ела намного вкуснее. На мой взгляд ресторан не из дешевых, цены как в европейском меню и порции такие же, как европейские. Хоть осталось неплохое впечатление, но снова туда не пойдем, восторга не возникло, несмотря на отличное обслуживание. Ожидала более вкусной еды...",both,absence,negative,negative,positive
"Впервые побывала в этом пабе совсем недавно и могу сказать, что это весьма неплохое место! Очень понравился интерьер - чисто пабовский, но при этом ненавязчивый и комфортный. Атмосфера что надо - располагает к веселью и дружескому общению. Что касается обслуживания, то для субботнего вечера вполне приемлемо. При входе нам предложили один из немногих свободных столиков, затем через пару минут официант принес меню. Порадовал широкий выбор пива, прочего алкоголя, а также закусок и различных блюд на любой вкус. Была удивлена таким обширным меню в пабе! Хотя, возможно это даже чересчур…Заказ наш мы ждали минут 20. Из недочетов можно отметить забывчивость официантки - друг дождался своих сигарет только после третьей просьбы. Но это можно компенсировать весьма вежливым обслуживанием. Из заказанного понравилось пиво – наивкуснейшее! Коктейли тоже на неплохом уровне. К гренкам и стейку претензий нет, в цезаре приправ многовато. А вот суши совсем разочаровали – не пабовское это блюдо все-таки! В конце пришлось долго ждать счет, а затем еще сдачу ждали минут 15. Но в целом хорошо посидели! Думаю, будем почаще заходить. По ценам, кстати, тоже нормально все – средние для подобных заведений, не завышенные как у многих.",both,positive,positive,positive,both
"Ребята, вы - лучшие! Недавно были небольшой дружной компанией, понравилось абсолютно все! Из меню я пробовала салат с рыбой - ооочень вкусно, друзья брали и холодные закуски и горЯчее, все остались довольны, действительно достойная русская кухня! Прекрасный, уютный интерьер, музыка просто слух радовала... Персонал весь очень приветливый - и администратор и официанты, сервис на уровне, абсолютно ничего не напрягало и вечер прошел на ""ура""! Хоть и живем от вас не близко, думаю, в гости заглянем снова!",positive,positive,absence,positive,positive
"Зашла в ресторан первое впечатление отличное, но правда, что сразу не понравилось это то, что заранее заказали столик у окна, но нас посадили в самое ужасное место! Официанты очень приятные, не навязчивые, сервис отличный! Что касается кухни, честно, мне не понравилось(( мясо ждали минут30, если не больше.... интерьер отлиный, персонал тоже, но кухня не вкусная",negative,positive,absence,both,both
"Мы посетили этот замечательный ресторанчик поздним вечером, ближе к полуночи, когда уже нигде не кормили по-настоящему. Несмотря на плохую погоду, мы пытались показать приехавшим в гости родственникам (молодоженам) все красоты нашего города, включая белые ночи. ""Квартиру №55"" выбрали из-за расположения и графика работы, ну и отзывы неплохие. Часто проезжали мимо, и вот выдался повод зайти. Накормили и напоили нас в эту холодную ночь замечательно вкусно. Не хочется употреблять слова сервис, обслуживание, т.к. нас не ""обслуживали"", а радушно встречали, очень по-домашнему. Помогли с заказом, посоветовали хорошее и недорогое вино. Правда, заказ принесли не быстро, хотя кроме нас в ресторане было занято всего 2 столика и там уже люди давно сидели, пили чай. Салаты готовили минут 20, потом еще ждали горячее. Мы скоротали время за бутылочкой вина. Гостям очень понравились пожарские котлеты и тушеная телятина. Я брала буженину на гриле - это восторг! Салаты были сытные и довольно вкусные, но как-то не запомнились. Порции не огромные, но и не маленькие, мы наелись и не решились еще взять по десерту, хотя официант очень советовал и хвалил их десерты. Так что, у нас есть повод придти в квартиру еще раз! Хочу сказать большое спасибо ""ночному персоналу"" ресторана, который сделал наш поздний ужин таким приятным!",positive,absence,absence,positive,both
"Были вчера компанией 6 человек в ""Суп-вино"". Столик бронировали заранее, что, думаю, всегда стоит делать в таким небольших ресторанах. Хочется сказать, что мы остались очень довольны. Интерьер приятный, абсолютно ненавязчивый, уютный, высокие столики удобны, музыка тихая, не мешает общаться. Меню интересное, всё очень вкусно, приемлемо по цене, готовится очень быстро!!! Много комментариев про плохое обслуживание, но они все старые, а вот нас обслуживал очень приятный молодой человек , вежливый и с чувством юмора. Блюда менялись незаметно, напитки принесли сразу же после заказа. Мы отлично провели время, с удовольствием придём еще!!!",positive,positive,positive,positive,positive
